order_index,repeat,task,variant,mode,status,task_success,input_tokens,cached_input_tokens,output_tokens,wall_clock_ms,diff_lines,unrelated_edit_count,protocol_hash
1,1,t17-map-with-concurrency-limit,B,formal,,true,108720,97536,1883,61124,26,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
2,1,t03-allocate-inventory-fifo,A,formal,,true,72430,63232,969,36207,2,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
3,1,t08-build-query-string,A,formal,,true,72071,63232,1180,44636,24,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
4,1,t18-select-localized-value,B,formal,,true,109313,96512,2287,66887,28,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
5,1,t01-normalize-csv-headers,B,formal,,true,163400,145920,2487,78380,4,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
6,1,t16-create-ttl-cache,B,formal,,true,75483,68352,1657,47598,44,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
7,1,t15-plan-upload-chunks,C,formal,,true,142164,121600,2169,72005,17,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
8,1,t13-apply-tiered-discount,A,formal,,true,74414,66304,1806,52425,37,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
9,1,t04-match-payments-to-invoices,B,formal,,true,93316,77312,1838,57633,37,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
10,1,t07-dedupe-events,C,formal,,true,88500,80384,1494,49841,19,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
11,1,t10-resolve-permissions,C,formal,,true,162076,143872,3513,95984,50,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
12,1,t17-map-with-concurrency-limit,A,formal,,true,57601,49152,1399,38958,34,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
13,1,t11-overlap-date-ranges,B,formal,,true,95006,84480,2364,62236,39,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
14,1,t20-calculate-reorder-recommendation,C,formal,,true,104210,95488,1250,45902,2,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
15,1,t02-calculate-invoice-totals,B,formal,,true,144973,126720,3041,82724,43,0,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
16,1,t16-create-ttl-cache,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
17,1,t15-plan-upload-chunks,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
18,1,t20-calculate-reorder-recommendation,B,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
19,1,t12-aggregate-order-lines,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
20,1,t18-select-localized-value,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
21,1,t02-calculate-invoice-totals,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
22,1,t13-apply-tiered-discount,B,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
23,1,t04-match-payments-to-invoices,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
24,1,t09-resolve-feature-flags,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
25,1,t19-validate-customer-update,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
26,1,t07-dedupe-events,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
27,1,t06-redact-sensitive-fields,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
28,1,t20-calculate-reorder-recommendation,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
29,1,t11-overlap-date-ranges,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
30,1,t16-create-ttl-cache,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
31,1,t04-match-payments-to-invoices,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
32,1,t05-parse-pagination-query,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
33,1,t01-normalize-csv-headers,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
34,1,t15-plan-upload-chunks,B,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
35,1,t08-build-query-string,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
36,1,t14-canonicalize-headers,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
37,1,t19-validate-customer-update,C,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
38,1,t02-calculate-invoice-totals,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
39,1,t10-resolve-permissions,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
40,1,t14-canonicalize-headers,B,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
41,1,t08-build-query-string,B,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
42,1,t03-allocate-inventory-fifo,B,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
43,1,t07-dedupe-events,B,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
44,1,t12-aggregate-order-lines,A,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
45,1,t09-resolve-feature-flags,B,formal,PENDING,,,,,,,,16c0d5f58a941564bed45fa212797c2dafc906d0813b670874a7291ccb40c5ef
